Type Object,Object ID (Generated),Object ID (Ground Truth),Match Score (%)
indicator,indicator--7e1ec966-c4a1-4f50-91db-4838b85414a4,indicator--36684a9c-5ec2-4d90-b534-337904e92d4c,94.11764705882352
indicator,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,indicator--9a89c954-3d37-477f-bce3-2e020989ed2e,94.11764705882352
indicator,indicator--bd2ff7e3-f817-489d-b859-765069d57ef4,indicator--7e1ec966-c4a1-4f50-91db-4838b85414a4,0.0
indicator,indicator--82f6c772-948c-475c-93f3-f93620b2f32a,indicator--7e1ec966-c4a1-4f50-91db-4838b85414a4,0.0
indicator,indicator--232ec417-ffb6-4fb7-a172-22b92b72c974,indicator--437c05ff-73de-4df9-955b-80fb34cfecb1,94.11764705882352
indicator,indicator--e69324f4-8c1e-4019-ac8c-54e8062d3706,indicator--7e1ec966-c4a1-4f50-91db-4838b85414a4,0.0
indicator,indicator--cbe2000c-0e17-40dd-984b-d4e79b5d24ed,indicator--7e1ec966-c4a1-4f50-91db-4838b85414a4,0.0
indicator,indicator--6fcf2b29-51d6-402f-9804-bf53713dab23,indicator--6cac77bb-3ef0-494b-9287-77fc35fb2db6,94.11764705882352
indicator,indicator--569e7c22-d451-4b8b-ab8e-70571e6c7d3b,indicator--7e1ec966-c4a1-4f50-91db-4838b85414a4,0.0
indicator,indicator--12d735c1-3103-4043-a411-77321b5cacc7,indicator--7e1ec966-c4a1-4f50-91db-4838b85414a4,0.0
indicator,indicator--36684a9c-5ec2-4d90-b534-337904e92d4c,indicator--7e1ec966-c4a1-4f50-91db-4838b85414a4,94.11764705882352
indicator,indicator--ee5827d7-24ec-42be-861d-e72e72628557,indicator--7e1ec966-c4a1-4f50-91db-4838b85414a4,0.0
indicator,indicator--0cb3bf10-4113-492e-a558-c3b3bf610c78,indicator--7e1ec966-c4a1-4f50-91db-4838b85414a4,0.0
indicator,indicator--8608c198-3ea9-420a-ac35-004dd965f843,indicator--7e1ec966-c4a1-4f50-91db-4838b85414a4,0.0
indicator,indicator--6be92b39-c4fb-4bc0-a808-30e928da106a,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--165107ab-c67f-4cca-b367-3a8869422a8f,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--bf0eb933-0fc2-4777-a118-dde7cfc33124,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--fc0e8b90-45b0-444a-92fb-183c16b0230f,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--d9cb3dee-9840-4f6a-8624-a453db78c923,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--53f68f3c-d928-4268-b37d-dd2d84784671,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--1f439e42-824b-451e-873b-7107811c8a18,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--c84d8239-5381-4980-b5c1-cabb213e0a58,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--5df4b19b-fd90-4a11-8a7a-caa0b6deea93,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--4c838ba0-6a5a-43a6-93d7-3f415c407e3f,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--c5e20e40-ee0c-40a8-bd78-355733123131,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--95f47b89-b3c1-4d39-937e-cc042cfabb07,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--8a225369-f03b-4dde-aa9b-a9e32efab388,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--caed8007-2f4d-4aec-b9f2-0663f6607039,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--9a89c954-3d37-477f-bce3-2e020989ed2e,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,94.11764705882352
indicator,indicator--4f498070-62d3-4f47-ac9b-4dcfd3ab4ad5,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--508b2167-8132-4ceb-a30a-35c901db0d7f,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--4a5bef25-24f1-4fff-804b-f6541730d437,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--680fb330-dc69-41f7-a26b-6fc4e8cc3bf8,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--896e55ec-c480-4be6-85eb-0500b32423af,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--8ad579ab-ca42-4521-b829-d05292dd0f35,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--7768443f-7f4b-44ff-a42c-f2bd20dbb649,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--4e408ad8-7f2a-44dd-bdc7-17f9a72890f1,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--638f1349-c053-4a14-8421-0dc68ba07fff,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--bfc4eb96-a1f5-486b-ba33-2ba2268f6376,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--be397e45-8e7f-46ad-b673-b9139fb51fbb,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--6cac77bb-3ef0-494b-9287-77fc35fb2db6,indicator--6fcf2b29-51d6-402f-9804-bf53713dab23,94.11764705882352
indicator,indicator--ca25303f-7212-4675-9fb6-a69a68748afa,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--acf46f55-0c94-4a19-96fe-777f8208759c,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--dabe0678-638f-45e9-bb43-b4809f8a334c,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--4a53a43d-de95-42a4-8d0e-ee1b0a4ded54,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--b616386c-30b0-4d98-8c2e-4c94afd2701e,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--839633fe-7030-42c5-9636-f9fa37f49487,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--a3de30cc-25ae-4623-9cd1-294148fc618c,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--9d5b4457-e609-43f0-8948-da0c46d92fb4,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--437c05ff-73de-4df9-955b-80fb34cfecb1,indicator--232ec417-ffb6-4fb7-a172-22b92b72c974,94.11764705882352
indicator,indicator--ac888d64-89e9-42b3-991b-6f485a723a5c,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--a2783006-0730-41e8-98a0-71baf3aefe3e,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--185cd7e6-ce71-4cf1-af7f-c65c45995808,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--3d1f094f-5e5e-484c-8a02-569235dfcb4d,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--7d971a0b-5ec1-421f-9f57-e8ed47ea3452,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--8bdb278c-c009-4981-936b-973d349c2973,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--af56ec27-234b-480b-b0dc-4e446ea67a65,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--c2bfb379-7055-47f9-8d2e-4d94d35ee38c,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
relationship,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,relationship--4a7fb741-55a2-4f63-84a8-11cc120d18bf,51.42857142857144
relationship,relationship--ac92bd8e-fb55-4c84-a2d3-03d99dbdc72d,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,28.000000000000004
relationship,relationship--4a7fb741-55a2-4f63-84a8-11cc120d18bf,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,51.42857142857144
relationship,relationship--735661bb-7980-4498-b898-e73b4c867bad,relationship--d8d1cb87-dfd2-46b0-804e-6fd58155ca07,28.000000000000004
relationship,relationship--272ed36d-8fb2-4c76-b03b-dce29feb4185,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,51.42857142857144
relationship,relationship--6e131ab9-6516-4a0d-a084-074e7dd1f036,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,0.0
relationship,relationship--355e17db-3709-42cc-ad6a-f22d4ad91ff7,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,51.42857142857144
relationship,relationship--160c6e33-a431-44f5-8aad-4b4a9664e590,relationship--f28afdc4-fe6f-4bd2-964b-53e23321475c,28.000000000000004
relationship,relationship--e419ef43-f996-416c-ab32-c6319dd225dc,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,51.42857142857144
relationship,relationship--b2215ed7-6c1e-46a5-a3bd-a90938b571de,relationship--52c85f42-dbde-429b-a110-799fbb805427,28.000000000000004
relationship,relationship--d39c4406-1f4e-408e-aa25-748885160a13,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,51.42857142857144
relationship,relationship--de1228ae-d48e-4b14-b603-9bf48b453f18,relationship--c7309b2e-3199-438f-bcc0-af40b36390f4,28.000000000000004
relationship,relationship--a40c1a80-48c4-4d8d-a631-8e4e7b1b44d2,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,51.42857142857144
relationship,relationship--0fbb259b-7a0b-4d0f-a61e-cf1c79a75c3a,relationship--8acb1acc-39f6-4a87-9588-1617a373dfea,28.000000000000004
relationship,relationship--010acad3-8a8a-4fdb-b88d-a27d65cabc0c,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,51.42857142857144
relationship,relationship--80b68e13-cd3a-40ac-be32-32094eebf84a,relationship--feccc362-6cde-41c5-a700-33cde2e3f802,28.000000000000004
relationship,relationship--b7b341ed-2626-4820-9a0a-c5d4b16cb40b,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,51.42857142857144
relationship,relationship--285985bb-fda4-4cdb-94c9-297febf8c1c1,relationship--65321661-87df-4cfd-b9f5-a54030a85687,28.000000000000004
relationship,relationship--469e2b9e-5547-4f23-8db3-b90d2f292f0c,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,51.42857142857144
relationship,relationship--f44b86b5-0677-4234-9753-f53b510a91ad,relationship--d1a3102b-d2cc-440c-9e84-50a51cc8a376,28.000000000000004
relationship,relationship--e45b95c8-9f60-4225-b1bd-f2b09917bf03,relationship--69e29d56-bb42-42ae-a85b-bbadd24a8d52,51.42857142857144
relationship,relationship--0b8ea51d-377e-4443-99d0-3f76c0a0f14f,relationship--f0451c42-6933-47de-8390-12d80f5036ee,28.000000000000004
