Type Object,Object ID (Generated),Object ID (Ground Truth),Match Score (%)
attack-pattern,attack-pattern--18d83074-e7a8-4066-b0a2-67debd022579,attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56,80.9090909090909
attack-pattern,attack-pattern--3c48d49c-29a8-44b6-bed6-2c8c3a326dfd,attack-pattern--18d83074-e7a8-4066-b0a2-67debd022579,77.58620689655173
attack-pattern,attack-pattern--35ca7caf-bc9b-40ec-8e5f-380a0574163e,attack-pattern--39cb1cca-e327-4db7-a6bc-0f367daf9cff,75.0
attack-pattern,attack-pattern--881f247f-3f89-4b48-bb47-0f72a6b9817a,attack-pattern--1a5b6ebf-8ca8-408f-890d-68cda423ae15,56.666666666666664
attack-pattern,attack-pattern--5ed6a9ac-e1f7-45e8-bb7d-f889348d8599,attack-pattern--d9415841-fb05-49e9-97cb-43287c344820,71.11111111111111
attack-pattern,attack-pattern--bf856889-6cf4-4816-aeaa-40d00441638f,attack-pattern--f86f503d-dd16-4da8-a7f9-e0898e6f5765,75.92592592592592
attack-pattern,attack-pattern--45ba4683-2836-4d78-af1d-5ec3ff4ceea8,attack-pattern--a5f7092b-83e4-4188-b602-c291a6ffc40b,77.19298245614034
attack-pattern,attack-pattern--b1001fb4-5cd7-41e7-8fdf-dae65622e72e,attack-pattern--0cf8febf-22be-4fe9-bc3f-92976d427273,83.11688311688312
attack-pattern,attack-pattern--a41cefc3-03d7-4815-be0b-87ae8b89d341,attack-pattern--71e50d24-91c2-4ff7-87b3-53b48e322263,78.33333333333333
attack-pattern,attack-pattern--e2949263-f2c4-4b36-9838-5c67d7e6bced,attack-pattern--d664bed4-00be-4f61-92d4-66fcb0a38d2f,56.666666666666664
attack-pattern,attack-pattern--baeaf01d-8da1-492c-9eb0-7b1674251125,attack-pattern--f5a9174a-51ef-46ed-978b-334b22831d77,65.78947368421052
attack-pattern,attack-pattern--cb254de4-c831-496f-9ac8-a0fca31fff98,attack-pattern--eba36a6a-9677-404c-9d65-d478eced0724,55.172413793103445
